trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-06-22 13:31:01,3534330126107879,Riot Home Living,home,79.4,Lia,Juan,F,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,d3e44a66bc28f5d27be8607559b068af,1371907861,44.332835,-108.234625,0
2020-07-29 07:58:56,3534330126107879,Riot Retail Group,shopping_pos,118.23,Lia,Juan,F,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,f80ff18d7668170a0dc775c5342cbbac,1375084736,45.744008,-109.124371,0
2020-09-29 18:58:24,3534330126107879,Riot Eats,food_dining,55.95,Lia,Juan,F,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,4f2a347f29d9de1355bf805831ddfae0,1380481104,44.682821999999994,-108.575063,0
2020-12-08 21:52:03,3534330126107879,"Riot Entertainment",entertainment,72.13,Lia,Juan,F,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,c6a333ba04412930696e2fb63c12a8ed,1386539523,45.559865,-109.38336799999999,0
2020-12-31 12:29:01,4292902571056973207,Riot General Store,misc_pos,13.36,Lia,Juan,F,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,4c74c993e2795a51daf1cc4107850cad,1388492941,45.651145,-113.53034299999999,0
2020-09-01 05:41:42,4334230547694630,"Riot General Emporium",misc_pos,15.78,Warren,Yun,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,375ab21156f79cc30224a4a8095ff5df,1378014102,43.859035,-111.756046,0
2020-09-06 10:27:07,4334230547694630,Riot Marketplace,shopping_pos,6.32,Warren,Yun,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,cd28e16fa048fd56a7a7fb2cde8a5d30,1378463227,43.475164,-111.136948,0
2020-12-12 01:11:48,4334230547694630,"Riot Online Shop",shopping_net,1.08,Warren,Yun,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,5035c9fa60cb8bada114314efbb07267,1386810708,42.807109000000004,-111.36136699999999,0
2020-12-17 02:07:46,3502088871723054,Riot Fuel Express,gas_transport,62.52,Warren,Yun,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,9d057a52b89764d1c11972ba1e5f226c,1387246066,39.778624,-76.843285,0
2020-12-21 15:48:21,4334230547694630,Riot Wellness,health_fitness,17.05,Warren,Yun,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,1fb60d2e55854da6fc7ba5a25687f189,1387640901,43.275048,-110.28553000000001,0
2020-07-07 12:09:01,4512828414983801773,Riot General Depot,misc_pos,193.51,Lisa,Juan,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Operations geologist,1983-07-25,3279cf7a89df76459237dbe8b5627e30,1373198941,40.590841,-80.76443,0
2020-07-26 01:03:06,4512828414983801773,Riot Gas Transit,gas_transport,53.39,Lisa,Juan,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Operations geologist,1983-07-25,44e33b36f8b80f1cd59351ddf4a08174,1374800586,40.538883,-79.134963,0
2020-08-29 12:19:32,4512828414983801773,Riot Digital Market,shopping_net,1.58,Lisa,Juan,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Operations geologist,1983-07-25,bf2a0e6113cc13125cccbf806e404fd9,1377778772,40.118677000000005,-80.060478,0
2020-09-06 13:07:48,4512828414983801773,Riot Home Interiors, Jakubowski and Littel home,66.88,Lisa,Juan,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Operations geologist,1983-07-25,ee9042fb325630556a42affd3a7d45ef,1378472868,39.294433000000005,-80.65097800000001,0
2020-12-20 17:29:56,4512828414983801773,Riot Family Mart,kids_pets,18.71,Lisa,Juan,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Operations geologist,1983-07-25,00bac174f13f10c94a86ea304eeb0fdc,1387560596,40.414023,-80.149137,0
2020-07-15 19:31:49,571365235126,Riot Shop Direct,shopping_pos,41.28,Bill,Zhang,M,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,c2ae578f46b910326c774d1f8a2d20e0,1373916709,45.008408,-85.66494399999999,0
